,task_id,worker_id,real_answers,label_task,prob_task,prob_worker,label_worker,prob_answer,worker_answers,match
0,task_CV9,xbNWA,lung,easy_task,0.9100000000000001,0.8900000000000005,good_worker,0.9199,heart,0
1,task_CV9,JQtWi,lung,easy_task,0.9100000000000001,0.9100000000000001,good_worker,0.9181000000000001,heart,0
2,task_CV9,bUvzX,lung,easy_task,0.9100000000000001,0.9400000000000002,good_worker,0.9154000000000001,heart,0
3,task_CV9,ixEF8,lung,easy_task,0.9100000000000001,0.9800000000000002,good_worker,0.9118000000000002,heart,0
4,task_CV9,cmGxv,lung,easy_task,0.9100000000000001,0.9000000000000002,good_worker,0.9190000000000002,heart,0
5,task_CV9,Bpea7,lung,easy_task,0.9100000000000001,0.9500000000000002,good_worker,0.9145000000000001,heart,0
6,task_CV9,TbL4U,lung,easy_task,0.9100000000000001,0.9000000000000002,good_worker,0.9190000000000002,heart,0
7,task_CV9,e5fjL,lung,easy_task,0.9100000000000001,0.8600000000000002,good_worker,0.9226000000000001,heart,0
8,task_CV9,puNxr,lung,easy_task,0.9100000000000001,0.8600000000000002,good_worker,0.9226000000000001,heart,0
9,task_x5j,TbL4U,heart,easy_task,0.8400000000000001,0.9000000000000002,good_worker,0.8560000000000001,heart,1
10,task_x5j,cmEcz,heart,easy_task,0.8400000000000001,0.9100000000000001,good_worker,0.8544,heart,1
11,task_x5j,JQtWi,heart,easy_task,0.8400000000000001,0.9100000000000001,good_worker,0.8544,brain,0
12,task_x5j,EXN7W,heart,easy_task,0.8400000000000001,0.85,good_worker,0.8640000000000001,heart,1
13,task_x5j,Bpea7,heart,easy_task,0.8400000000000001,0.9500000000000002,good_worker,0.8480000000000001,heart,1
14,task_x5j,XXoBg,heart,easy_task,0.8400000000000001,0.8900000000000003,good_worker,0.8576,heart,1
15,task_x5j,bUvzX,heart,easy_task,0.8400000000000001,0.9400000000000002,good_worker,0.8496,heart,1
16,task_x5j,EQ3gR,heart,easy_task,0.8400000000000001,0.9700000000000004,good_worker,0.8448,heart,1
17,task_x5j,ixEF8,heart,easy_task,0.8400000000000001,0.9800000000000002,good_worker,0.8432000000000001,heart,1
18,task_8jg,Bpea7,blood,easy_task,0.9700000000000002,0.9500000000000002,good_worker,0.9715000000000001,heart,0
19,task_8jg,cmGxv,blood,easy_task,0.9700000000000002,0.9000000000000002,good_worker,0.9730000000000002,heart,0
20,task_8jg,QojUY,blood,easy_task,0.9700000000000002,0.9600000000000003,good_worker,0.9712000000000002,heart,0
21,task_8jg,e5fjL,blood,easy_task,0.9700000000000002,0.8600000000000002,good_worker,0.9742000000000002,heart,0
22,task_8jg,cXXaN,blood,easy_task,0.9700000000000002,0.9900000000000002,good_worker,0.9703000000000002,heart,0
23,task_8jg,EXN7W,blood,easy_task,0.9700000000000002,0.85,good_worker,0.9745000000000001,heart,0
24,task_8jg,cmEcz,blood,easy_task,0.9700000000000002,0.9100000000000001,good_worker,0.9727000000000001,heart,0
25,task_8jg,bUvzX,blood,easy_task,0.9700000000000002,0.9400000000000002,good_worker,0.9718000000000002,heart,0
26,task_8jg,XXoBg,blood,easy_task,0.9700000000000002,0.8900000000000003,good_worker,0.9733000000000002,heart,0
27,task_uUq,cmGxv,blood,easy_task,0.8500000000000001,0.9000000000000002,good_worker,0.865,heart,0
28,task_uUq,JQtWi,blood,easy_task,0.8500000000000001,0.9100000000000001,good_worker,0.8635,heart,0
29,task_uUq,xbNWA,blood,easy_task,0.8500000000000001,0.8900000000000005,good_worker,0.8665,heart,0
30,task_uUq,cmEcz,blood,easy_task,0.8500000000000001,0.9100000000000001,good_worker,0.8635,heart,0
31,task_uUq,QojUY,blood,easy_task,0.8500000000000001,0.9600000000000003,good_worker,0.8560000000000001,heart,0
32,task_uUq,e5fjL,blood,easy_task,0.8500000000000001,0.8600000000000002,good_worker,0.871,heart,0
33,task_uUq,ydABU,blood,easy_task,0.8500000000000001,0.84,good_worker,0.8740000000000001,heart,0
34,task_uUq,bUvzX,blood,easy_task,0.8500000000000001,0.9400000000000002,good_worker,0.8590000000000001,heart,0
35,task_uUq,Bpea7,blood,easy_task,0.8500000000000001,0.9500000000000002,good_worker,0.8575,heart,0
36,task_sAX,bUvzX,brain,easy_task,0.8700000000000001,0.9400000000000002,good_worker,0.8778000000000001,brain,1
37,task_sAX,QojUY,brain,easy_task,0.8700000000000001,0.9600000000000003,good_worker,0.8752000000000001,heart,0
38,task_sAX,Bpea7,brain,easy_task,0.8700000000000001,0.9500000000000002,good_worker,0.8765000000000001,heart,0
39,task_sAX,cmEcz,brain,easy_task,0.8700000000000001,0.9100000000000001,good_worker,0.8817,heart,0
40,task_sAX,cXXaN,brain,easy_task,0.8700000000000001,0.9900000000000002,good_worker,0.8713000000000001,heart,0
41,task_sAX,EXN7W,brain,easy_task,0.8700000000000001,0.85,good_worker,0.8895000000000001,heart,0
42,task_sAX,ixEF8,brain,easy_task,0.8700000000000001,0.9800000000000002,good_worker,0.8726,heart,0
43,task_sAX,cmGxv,brain,easy_task,0.8700000000000001,0.9000000000000002,good_worker,0.883,heart,0
44,task_sAX,X4KtA,brain,easy_task,0.8700000000000001,0.94,good_worker,0.8778000000000001,heart,0
45,task_CyF,QojUY,lung,easy_task,0.8700000000000001,0.9600000000000003,good_worker,0.8752000000000001,brain,0
46,task_CyF,cmGxv,lung,easy_task,0.8700000000000001,0.9000000000000002,good_worker,0.883,heart,0
47,task_CyF,X4KtA,lung,easy_task,0.8700000000000001,0.94,good_worker,0.8778000000000001,heart,0
48,task_CyF,e5fjL,lung,easy_task,0.8700000000000001,0.8600000000000002,good_worker,0.8882000000000001,heart,0
49,task_CyF,ydABU,lung,easy_task,0.8700000000000001,0.84,good_worker,0.8908,lung,1
50,task_CyF,bUvzX,lung,easy_task,0.8700000000000001,0.9400000000000002,good_worker,0.8778000000000001,heart,0
51,task_CyF,ixEF8,lung,easy_task,0.8700000000000001,0.9800000000000002,good_worker,0.8726,heart,0
52,task_CyF,puNxr,lung,easy_task,0.8700000000000001,0.8600000000000002,good_worker,0.8882000000000001,heart,0
53,task_CyF,EQ3gR,lung,easy_task,0.8700000000000001,0.9700000000000004,good_worker,0.8739,heart,0
54,task_qFC,XXoBg,blood,easy_task,0.9200000000000002,0.8900000000000003,good_worker,0.9288000000000001,heart,0
